emp_no,first_name,last_name,title,from_date,to_date,birth_date
16528,Gaurav,Swick,Engineer,2001-05-07,9999-01-01,1965-01-21
17013,Morris,Garigliano,Senior Staff,2000-05-23,9999-01-01,1965-01-15
17013,Morris,Garigliano,Staff,1995-05-24,9999-01-01,1965-01-15
17206,Berry,DeMori,Engineer,1992-12-27,9999-01-01,1965-01-02
17206,Berry,DeMori,Senior Engineer,1998-12-27,9999-01-01,1965-01-02
17369,Yaghout,Kenevan,Engineer,1993-01-28,9999-01-01,1965-01-31
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01,1965-01-31
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01,1965-01-11
17731,Gennady,Roison,Assistant Engineer,1989-12-06,9999-01-01,1965-01-16
17731,Gennady,Roison,Engineer,1997-12-06,9999-01-01,1965-01-16
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01,1965-01-06
17988,Mabhin,Calkin,Engineer,1989-11-30,9999-01-01,1965-01-31
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01,1965-01-31
18021,Adil,Matzke,Engineer,1987-05-08,9999-01-01,1965-01-07
18021,Adil,Matzke,Senior Engineer,1995-05-08,9999-01-01,1965-01-07
18424,Filipp,Rousseau,Engineer,1995-06-07,9999-01-01,1965-01-19
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,9999-01-01,1965-01-19
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01,1965-01-03
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01,1965-01-21
18617,Surveyors,Crouzet,Staff,1989-04-24,9999-01-01,1965-01-21
18810,Taiji,Jarecki,Engineer,1991-06-27,9999-01-01,1965-01-09
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01,1965-01-09
19236,Elzbieta,Morris,Engineer,1988-07-12,9999-01-01,1965-01-24
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,9999-01-01,1965-01-24
19350,Satoru,Yoshizawa,Senior Staff,1999-03-27,9999-01-01,1965-01-19
19350,Satoru,Yoshizawa,Staff,1994-03-27,9999-01-01,1965-01-19
19803,Ziva,Kowalchuk,Engineer,1987-06-13,9999-01-01,1965-01-30
19803,Ziva,Kowalchuk,Senior Engineer,1992-06-12,9999-01-01,1965-01-30
20100,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01,1965-01-18
20100,Utz,Heuter,Staff,1986-06-15,9999-01-01,1965-01-18
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01,1965-01-23
20129,Rafael,Skafidas,Engineer,1991-03-28,9999-01-01,1965-01-10
20129,Rafael,Skafidas,Senior Engineer,2000-03-27,9999-01-01,1965-01-10
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01,1965-01-12
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01,1965-01-24
20885,Otmar,Rothenberg,Engineer,1989-03-14,9999-01-01,1965-01-21
20885,Otmar,Rothenberg,Senior Engineer,1996-03-14,9999-01-01,1965-01-21
21181,Jianhui,Cangellaris,Assistant Engineer,1991-10-06,9999-01-01,1965-01-21
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01,1965-01-21
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01,1965-01-21
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01,1965-01-01
20500,Christoph,Trystram,Senior Staff,1998-10-15,9999-01-01,1965-01-30
20500,Christoph,Trystram,Staff,1993-10-15,9999-01-01,1965-01-30
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01,1965-01-09
21909,Mohammed,Brizzi,Senior Staff,1998-12-28,9999-01-01,1965-01-04
21909,Mohammed,Brizzi,Staff,1991-12-28,9999-01-01,1965-01-04
22415,Perla,Jumpertz,Senior Staff,1994-08-24,9999-01-01,1965-01-20
22185,Huai,Birch,Assistant Engineer,1996-03-26,9999-01-01,1965-01-29
22185,Huai,Birch,Engineer,2002-03-26,9999-01-01,1965-01-29
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,9999-01-01,1965-01-27
22451,Jasminko,Bresenham,Staff,1987-12-16,9999-01-01,1965-01-27
22455,Barry,Unno,Senior Staff,1999-11-16,9999-01-01,1965-01-06
22455,Barry,Unno,Staff,1990-11-16,9999-01-01,1965-01-06
22926,Manibrata,Genther,Engineer,1988-01-15,9999-01-01,1965-01-01
22926,Manibrata,Genther,Senior Engineer,1996-01-15,9999-01-01,1965-01-01
24080,Jaana,Perez,Technique Leader,1996-03-11,9999-01-01,1965-01-26
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,9999-01-01,1965-01-02
24377,Lubomir,Wroclawski,Engineer,1993-07-25,9999-01-01,1965-01-25
24205,Roddy,Rubsam,Senior Engineer,1993-09-19,9999-01-01,1965-01-25
24377,Lubomir,Wroclawski,Senior Engineer,2000-07-25,9999-01-01,1965-01-25
24394,Zhonghui,Conta,Staff,1994-09-10,9999-01-01,1965-01-04
26629,Nevin,Rodham,Senior Staff,1998-12-14,9999-01-01,1965-01-28
24553,Anwar,Passafiume,Senior Staff,1994-01-30,9999-01-01,1965-01-12
24553,Anwar,Passafiume,Staff,1987-01-30,9999-01-01,1965-01-12
24571,Cordelia,Gischer,Engineer,1989-03-14,9999-01-01,1965-01-20
24571,Cordelia,Gischer,Senior Engineer,1995-03-14,9999-01-01,1965-01-20
25488,Ingmar,Basawa,Senior Staff,1997-11-08,9999-01-01,1965-01-19
25488,Ingmar,Basawa,Staff,1991-11-09,9999-01-01,1965-01-19
26671,Jiakeng,Kalorkoti,Engineer,1994-12-25,9999-01-01,1965-01-21
26671,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,9999-01-01,1965-01-21
26788,Zongyan,Dalphin,Engineer,1988-04-23,9999-01-01,1965-01-25
26788,Zongyan,Dalphin,Senior Engineer,1993-04-23,9999-01-01,1965-01-25
27767,Tooru,Veldwijk,Senior Staff,2000-11-21,9999-01-01,1965-01-27
27331,Wanqing,Krohm,Senior Staff,1999-01-22,9999-01-01,1965-01-19
27331,Wanqing,Krohm,Staff,1991-01-22,9999-01-01,1965-01-19
27378,Piyawadee,Leppanen,Senior Staff,1999-02-25,9999-01-01,1965-01-28
27620,Shuji,Kandlur,Engineer,1990-03-02,9999-01-01,1965-01-25
27620,Shuji,Kandlur,Senior Engineer,1997-03-02,9999-01-01,1965-01-25
27686,Manu,Rosiles,Senior Staff,1998-03-03,9999-01-01,1965-01-28
27699,Falguni,Pezzoli,Engineer,1996-12-23,9999-01-01,1965-01-15
27767,Tooru,Veldwijk,Staff,1993-11-21,9999-01-01,1965-01-27
28193,Xinglin,Mitsuhashi,Engineer,1988-12-14,9999-01-01,1965-01-29
28193,Xinglin,Mitsuhashi,Senior Engineer,1997-12-14,9999-01-01,1965-01-29
28974,Chenxi,Sundgren,Senior Engineer,1986-09-02,9999-01-01,1965-01-09
28988,Tua,Giveon,Technique Leader,1998-09-09,9999-01-01,1965-01-18
29265,Gilbert,Calkin,Senior Staff,1994-03-21,9999-01-01,1965-01-14
29130,Xumin,Thorensen,Staff,1998-04-26,9999-01-01,1965-01-06
29265,Gilbert,Calkin,Staff,1988-03-21,9999-01-01,1965-01-14
29679,Kolar,Steenbeek,Senior Engineer,1986-10-18,9999-01-01,1965-01-17
29380,Satoru,Vidal,Assistant Engineer,1998-05-02,9999-01-01,1965-01-30
29418,Valery,Mersereau,Assistant Engineer,1998-07-01,9999-01-01,1965-01-22
29954,Pranay,Giarratana,Senior Engineer,1992-09-29,9999-01-01,1965-01-27
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,9999-01-01,1965-01-29
30007,Kousuke,Vecchio,Engineer,1990-02-23,9999-01-01,1965-01-24
30007,Kousuke,Vecchio,Senior Engineer,1999-02-23,9999-01-01,1965-01-24
30182,Leon,Potthoff,Engineer,1985-12-08,9999-01-01,1965-01-26
30035,Tetsushi,Conta,Senior Staff,1995-07-04,9999-01-01,1965-01-08
30182,Leon,Potthoff,Senior Engineer,1993-12-08,9999-01-01,1965-01-26
30465,Randi,Avouris,Engineer,1986-07-16,9999-01-01,1965-01-28
30154,Mayuko,Skafidas,Technique Leader,1999-04-19,9999-01-01,1965-01-26
30465,Randi,Avouris,Senior Engineer,1991-07-16,9999-01-01,1965-01-28
30484,Sailaja,Chvatal,Staff,1999-05-18,9999-01-01,1965-01-11
30938,Yakkov,Samarati,Senior Staff,2000-05-22,9999-01-01,1965-01-06
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,9999-01-01,1965-01-08
30938,Yakkov,Samarati,Staff,1995-05-23,9999-01-01,1965-01-06
31188,Leandro,Gist,Technique Leader,1993-02-03,9999-01-01,1965-01-12
31147,Divine,Sidhu,Senior Staff,1989-07-05,9999-01-01,1965-01-04
31207,Abdelwaheb,Dulin,Senior Engineer,1993-08-05,9999-01-01,1965-01-30
31514,Harngdar,Schapire,Engineer,1996-11-09,9999-01-01,1965-01-13
31341,Oksana,Zultner,Senior Staff,1997-03-22,9999-01-01,1965-01-01
31341,Oksana,Zultner,Staff,1991-03-23,9999-01-01,1965-01-01
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,9999-01-01,1965-01-13
31568,Mark,Lalonde,Staff,1996-11-24,9999-01-01,1965-01-10
31909,Murthy,Peek,Engineer,1994-07-19,9999-01-01,1965-01-10
32552,Atreye,Stanger,Assistant Engineer,1993-09-10,9999-01-01,1965-01-17
32347,Terresa,Peres,Senior Staff,1997-09-15,9999-01-01,1965-01-08
32347,Terresa,Peres,Staff,1990-09-15,9999-01-01,1965-01-08
32552,Atreye,Stanger,Engineer,1999-09-10,9999-01-01,1965-01-17
32844,Tadahiko,Melton,Engineer,1995-01-07,9999-01-01,1965-01-23
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01,1965-01-12
33215,Steen,Fasbender,Technique Leader,1993-02-14,9999-01-01,1965-01-29
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01,1965-01-16
33025,Jessie,Thorelli,Senior Staff,1999-12-16,9999-01-01,1965-01-12
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01,1965-01-15
34077,Angel,Sichman,Senior Staff,1997-11-16,9999-01-01,1965-01-08
34077,Angel,Sichman,Staff,1988-11-16,9999-01-01,1965-01-08
34780,Moni,Kohling,Staff,1994-07-21,9999-01-01,1965-01-16
34261,Kyoichi,Callaway,Senior Staff,1996-12-29,9999-01-01,1965-01-05
34261,Kyoichi,Callaway,Staff,1990-12-30,9999-01-01,1965-01-05
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01,1965-01-31
34452,Naftaly,Foong,Engineer,1991-05-10,9999-01-01,1965-01-08
34452,Naftaly,Foong,Senior Engineer,2000-05-09,9999-01-01,1965-01-08
34505,Felicidad,Kumaresan,Senior Staff,2001-09-06,9999-01-01,1965-01-28
34505,Felicidad,Kumaresan,Staff,1994-09-06,9999-01-01,1965-01-28
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01,1965-01-10
34788,Ennio,Babu,Senior Engineer,1994-08-31,9999-01-01,1965-01-27
35044,Jiang,Waschkowski,Engineer,1989-05-27,9999-01-01,1965-01-04
34936,Bokyung,Stamatiou,Technique Leader,1991-02-12,9999-01-01,1965-01-12
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,9999-01-01,1965-01-04
35087,Leif,Ashish,Senior Staff,2001-10-14,9999-01-01,1965-01-17
35087,Leif,Ashish,Staff,1994-10-14,9999-01-01,1965-01-17
35642,Ashish,Talmon,Engineer,1995-06-13,9999-01-01,1965-01-30
35441,Chandrasekaran,Peek,Engineer,1988-02-07,9999-01-01,1965-01-31
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,9999-01-01,1965-01-31
35642,Ashish,Talmon,Senior Engineer,2002-06-13,9999-01-01,1965-01-30
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01,1965-01-02
35793,Oscar,Kusalik,Senior Staff,1996-05-10,9999-01-01,1965-01-01
35793,Oscar,Kusalik,Staff,1991-05-11,9999-01-01,1965-01-01
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01,1965-01-29
36521,Serif,Gladwell,Senior Staff,1993-03-05,9999-01-01,1965-01-21
36521,Serif,Gladwell,Staff,1987-03-06,9999-01-01,1965-01-21
36844,Hailing,Levergood,Staff,2000-01-12,9999-01-01,1965-01-01
36733,Uma,Reinhard,Staff,1997-11-01,9999-01-01,1965-01-04
36982,Kotesh,Rajala,Engineer,1992-06-23,9999-01-01,1965-01-22
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,9999-01-01,1965-01-22
38043,Michaela,Randi,Engineer,1985-11-23,9999-01-01,1965-01-05
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01,1965-01-22
37070,Jeong,Undy,Staff,1985-02-13,9999-01-01,1965-01-22
38043,Michaela,Randi,Senior Engineer,1994-11-23,9999-01-01,1965-01-05
38103,Masasuke,Babu,Engineer,1988-03-31,9999-01-01,1965-01-12
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01,1965-01-02
38103,Masasuke,Babu,Senior Engineer,1993-03-31,9999-01-01,1965-01-12
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01,1965-01-14
38168,Fumiko,Deverell,Senior Staff,1996-08-14,9999-01-01,1965-01-14
38168,Fumiko,Deverell,Staff,1987-08-15,9999-01-01,1965-01-14
38593,Huei,Orsini,Engineer,1986-06-04,9999-01-01,1965-01-14
38593,Huei,Orsini,Senior Engineer,1995-06-04,9999-01-01,1965-01-14
38947,Shuichi,Ruemmler,Senior Staff,1998-03-08,9999-01-01,1965-01-25
38947,Shuichi,Ruemmler,Staff,1991-03-08,9999-01-01,1965-01-25
39301,Rimon,Kawashima,Senior Staff,1998-02-05,9999-01-01,1965-01-07
39000,Martijn,Vendrig,Senior Staff,2002-03-03,9999-01-01,1965-01-08
39000,Martijn,Vendrig,Staff,1997-03-03,9999-01-01,1965-01-08
39036,Changho,Cappelli,Staff,1996-05-04,9999-01-01,1965-01-08
39301,Rimon,Kawashima,Staff,1992-02-06,9999-01-01,1965-01-07
39341,Mahmut,Lampe,Engineer,1985-05-11,9999-01-01,1965-01-01
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,9999-01-01,1965-01-01
40536,Harngdar,Bernardinello,Engineer,1988-02-29,9999-01-01,1965-01-20
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01,1965-01-02
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,9999-01-01,1965-01-10
40269,Toshiki,Ghazalie,Staff,1991-12-05,9999-01-01,1965-01-10
40283,Sudhanshu,Boissier,Engineer,1985-05-11,9999-01-01,1965-01-07
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,9999-01-01,1965-01-07
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01,1965-01-20
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,9999-01-01,1965-01-20
40765,Michaela,Ramsak,Senior Staff,2001-12-21,9999-01-01,1965-01-01
40765,Michaela,Ramsak,Staff,1992-12-21,9999-01-01,1965-01-01
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,9999-01-01,1965-01-09
40773,Shimshon,Aingworth,Staff,1986-04-13,9999-01-01,1965-01-09
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01,1965-01-25
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01,1965-01-17
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01,1965-01-20
41137,Bikash,Buchter,Staff,1987-11-23,9999-01-01,1965-01-20
41518,Keung,Schapiro,Senior Engineer,1998-04-19,9999-01-01,1965-01-11
41357,Willard,Vernadat,Engineer,1997-03-04,9999-01-01,1965-01-06
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01,1965-01-20
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01,1965-01-04
42911,Brigham,Eterovic,Engineer,1994-10-08,9999-01-01,1965-01-29
42778,Shuji,Remmers,Senior Staff,1996-12-17,9999-01-01,1965-01-19
42778,Shuji,Remmers,Staff,1987-12-18,9999-01-01,1965-01-19
42911,Brigham,Eterovic,Senior Engineer,1999-10-08,9999-01-01,1965-01-29
43154,Maha,Waterhouse,Senior Staff,2002-07-04,9999-01-01,1965-01-13
42950,Shaleah,Eickenmeyer,Senior Staff,1993-10-09,9999-01-01,1965-01-22
42955,Yucel,Lortz,Engineer,1995-02-21,9999-01-01,1965-01-12
43154,Maha,Waterhouse,Staff,1997-07-04,9999-01-01,1965-01-13
43848,Phillip,Oxenboll,Engineer,1999-05-26,9999-01-01,1965-01-11
43733,Huei,Boguraev,Senior Staff,1998-12-31,9999-01-01,1965-01-26
43733,Huei,Boguraev,Staff,1993-12-31,9999-01-01,1965-01-26
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01,1965-01-16
44054,Alenka,Ritcey,Engineer,1997-02-09,9999-01-01,1965-01-18
44265,Maria,Eppinger,Engineer,1997-01-30,9999-01-01,1965-01-24
44900,Mark,Schwaller,Senior Staff,2001-08-10,9999-01-01,1965-01-05
44900,Mark,Schwaller,Staff,1994-08-10,9999-01-01,1965-01-05
44959,Volkmar,Uhrik,Engineer,1988-01-16,9999-01-01,1965-01-21
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,9999-01-01,1965-01-21
45162,Dulce,Speel,Engineer,1987-10-19,9999-01-01,1965-01-11
44962,Sariel,Wynblatt,Assistant Engineer,1996-05-18,9999-01-01,1965-01-16
45162,Dulce,Speel,Senior Engineer,1996-10-18,9999-01-01,1965-01-11
46000,Zhaofang,Penn,Senior Staff,2002-07-24,9999-01-01,1965-01-26
46000,Zhaofang,Penn,Staff,1997-07-24,9999-01-01,1965-01-26
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01,1965-01-05
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01,1965-01-10
46834,Tooru,Daescu,Senior Staff,1998-03-20,9999-01-01,1965-01-22
47139,Marco,Usdin,Engineer,1996-10-29,9999-01-01,1965-01-25
46943,Pasqua,Maraist,Engineer,1993-12-06,9999-01-01,1965-01-31
46943,Pasqua,Maraist,Senior Engineer,1998-12-06,9999-01-01,1965-01-31
47016,Toong,Litecky,Senior Staff,1994-03-01,9999-01-01,1965-01-03
47016,Toong,Litecky,Staff,1989-03-01,9999-01-01,1965-01-03
47702,Juyoung,Vieri,Senior Staff,1999-08-12,9999-01-01,1965-01-21
47262,Gonzalo,Binkley,Engineer,1985-08-16,9999-01-01,1965-01-10
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,9999-01-01,1965-01-10
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01,1965-01-26
47702,Juyoung,Vieri,Staff,1991-08-12,9999-01-01,1965-01-21
47708,Edwin,Haldar,Senior Staff,1995-07-12,9999-01-01,1965-01-05
48275,Sariel,Massonet,Senior Staff,1993-11-19,9999-01-01,1965-01-29
48275,Sariel,Massonet,Staff,1987-11-20,9999-01-01,1965-01-29
48690,Hitomi,Schaap,Staff,1999-09-27,9999-01-01,1965-01-12
48947,Filipp,Akaboshi,Senior Staff,1992-05-20,9999-01-01,1965-01-05
49010,Kazuhisa,Benantar,Senior Staff,1994-10-23,9999-01-01,1965-01-16
48882,Leen,Lamparter,Engineer,1993-06-07,9999-01-01,1965-01-28
48882,Leen,Lamparter,Senior Engineer,2001-06-07,9999-01-01,1965-01-28
49010,Kazuhisa,Benantar,Staff,1989-10-23,9999-01-01,1965-01-16
48904,Yuichiro,Malabarba,Senior Staff,1999-03-07,9999-01-01,1965-01-23
48904,Yuichiro,Malabarba,Staff,1994-03-07,9999-01-01,1965-01-23
49017,Filipp,Flanders,Engineer,1990-11-26,9999-01-01,1965-01-07
49017,Filipp,Flanders,Senior Engineer,1999-11-26,9999-01-01,1965-01-07
49464,Siddarth,Cappelletti,Staff,1999-09-10,9999-01-01,1965-01-14
49119,Lena,Peek,Engineer,1991-05-16,9999-01-01,1965-01-09
49119,Lena,Peek,Senior Engineer,1997-05-15,9999-01-01,1965-01-09
49177,Tze,Bach,Engineer,1999-03-09,9999-01-01,1965-01-03
49477,Baocai,Leaver,Senior Staff,1998-08-05,9999-01-01,1965-01-14
50293,Xinan,Rindone,Engineer,1996-10-08,9999-01-01,1965-01-26
50311,Mooi,Stafford,Senior Engineer,1996-10-06,9999-01-01,1965-01-24
50831,Marie,Khalid,Senior Engineer,1990-10-27,9999-01-01,1965-01-06
50453,Aron,Harbusch,Staff,1997-10-02,9999-01-01,1965-01-12
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,9999-01-01,1965-01-30
50670,Boguslaw,Snedden,Staff,1985-02-20,9999-01-01,1965-01-30
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,9999-01-01,1965-01-29
51057,Theirry,Albarhamtoshy,Staff,1991-09-27,9999-01-01,1965-01-29
51060,Youngkon,Rohrbach,Engineer,1989-10-20,9999-01-01,1965-01-15
51060,Youngkon,Rohrbach,Senior Engineer,1998-10-20,9999-01-01,1965-01-15
51142,Rosine,Lakshmanan,Engineer,1986-01-31,9999-01-01,1965-01-29
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01,1965-01-29
51142,Rosine,Lakshmanan,Senior Engineer,1991-01-31,9999-01-01,1965-01-29
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01,1965-01-13
52040,Phule,Heijenga,Senior Staff,1998-02-21,9999-01-01,1965-01-14
52040,Phule,Heijenga,Staff,1992-02-22,9999-01-01,1965-01-14
52283,Trygve,Krupka,Senior Staff,2001-03-11,9999-01-01,1965-01-20
52283,Trygve,Krupka,Staff,1994-03-11,9999-01-01,1965-01-20
52590,Jouni,Munoz,Senior Staff,2000-11-25,9999-01-01,1965-01-21
52386,Adas,Denti,Senior Staff,1995-05-30,9999-01-01,1965-01-28
52386,Adas,Denti,Staff,1986-05-30,9999-01-01,1965-01-28
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01,1965-01-09
52590,Jouni,Munoz,Staff,1995-11-26,9999-01-01,1965-01-21
52599,Augustine,Mungall,Engineer,1987-08-31,9999-01-01,1965-01-25
52599,Augustine,Mungall,Senior Engineer,1996-08-30,9999-01-01,1965-01-25
52770,Shugo,Yurek,Senior Staff,1998-08-28,9999-01-01,1965-01-31
52770,Shugo,Yurek,Staff,1992-08-28,9999-01-01,1965-01-31
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01,1965-01-15
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01,1965-01-12
52956,Khalil,Picci,Engineer,1987-03-21,9999-01-01,1965-01-31
52956,Khalil,Picci,Senior Engineer,1992-03-20,9999-01-01,1965-01-31
52970,Lobel,Werthner,Engineer,1988-03-17,9999-01-01,1965-01-22
52970,Lobel,Werthner,Senior Engineer,1997-03-17,9999-01-01,1965-01-22
53278,Premsyl,Lortz,Senior Staff,1999-02-01,9999-01-01,1965-01-31
53278,Premsyl,Lortz,Staff,1993-02-01,9999-01-01,1965-01-31
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01,1965-01-06
53874,Bodo,Schade,Senior Staff,1995-02-14,9999-01-01,1965-01-23
53499,Zdislav,Mandelberg,Engineer,1994-09-11,9999-01-01,1965-01-20
53499,Zdislav,Mandelberg,Senior Engineer,2000-09-10,9999-01-01,1965-01-20
53597,Jiafu,Marchegay,Engineer,1985-03-02,9999-01-01,1965-01-30
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,9999-01-01,1965-01-30
53874,Bodo,Schade,Staff,1986-02-14,9999-01-01,1965-01-23
54795,Sumant,Nergos,Senior Staff,2000-05-07,9999-01-01,1965-01-29
53924,Arnould,Gaughan,Engineer,1991-01-23,9999-01-01,1965-01-27
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,9999-01-01,1965-01-27
54198,Shaowen,Segond,Engineer,1986-01-06,9999-01-01,1965-01-01
54198,Shaowen,Segond,Senior Engineer,1993-01-06,9999-01-01,1965-01-01
54632,Etsuo,Serot,Senior Staff,1997-06-14,9999-01-01,1965-01-19
54632,Etsuo,Serot,Staff,1989-06-14,9999-01-01,1965-01-19
54795,Sumant,Nergos,Staff,1993-05-07,9999-01-01,1965-01-29
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01,1965-01-13
55640,Adit,Syrotiuk,Engineer,1993-07-16,9999-01-01,1965-01-25
55640,Adit,Syrotiuk,Senior Engineer,1999-07-16,9999-01-01,1965-01-25
